model,construction_ok,exception_type,message
linear_regression,True,,
ridge,True,,
lasso,True,,
elastic_net,True,,
bayesian_ridge,True,,
huber_regressor,True,,
sgd_regressor,True,,
passive_aggressive_regressor,True,,
kneighbors_regressor,True,,
linear_svr,True,,
poisson_regressor,True,,
svr_rbf,True,,
nu_svr,True,,
nystroem_ridge,True,,
pls_regression,True,,
mlp_regressor,True,,
decision_tree,True,,
extra_tree,True,,
random_forest,True,,
extra_trees,True,,
gradient_boosting,True,,
hist_gradient_boosting,True,,
adaboost,True,,
bagging,True,,
voting_regressor,True,,
stacking_regressor,True,,
xgb_regressor,True,,
lgbm_regressor,True,,
catboost_regressor,True,,
selfies_transformer,True,,
