name,family,tree_based,ensemble_based,attention_based,requires_dense,requires_scaling,enabled
linear_regression,linear,False,False,False,False,False,True
ridge,linear,False,False,False,False,True,True
lasso,linear,False,False,False,False,True,True
elastic_net,linear,False,False,False,False,True,True
bayesian_ridge,linear,False,False,False,True,True,True
huber_regressor,linear,False,False,False,True,True,True
sgd_regressor,linear,False,False,False,False,True,True
passive_aggressive_regressor,linear,False,False,False,False,True,True
kneighbors_regressor,neighbors,False,False,False,False,True,True
linear_svr,svm,False,False,False,False,True,True
poisson_regressor,linear,False,False,False,False,True,True
svr_rbf,svm,False,False,False,False,True,True
nu_svr,svm,False,False,False,False,True,True
nystroem_ridge,kernel_approximation,False,False,False,True,True,True
pls_regression,linear,False,False,False,True,True,True
mlp_regressor,neural_network,False,False,False,True,True,True
decision_tree,tree,True,False,False,True,False,True
extra_tree,tree,True,False,False,True,False,True
random_forest,ensemble_tree,True,True,False,True,False,True
extra_trees,ensemble_tree,True,True,False,True,False,True
gradient_boosting,ensemble_tree,True,True,False,True,False,True
hist_gradient_boosting,ensemble_tree,True,True,False,True,False,True
adaboost,ensemble_tree,True,True,False,True,False,True
bagging,ensemble_tree,True,True,False,True,False,True
voting_regressor,ensemble,False,True,False,True,True,True
stacking_regressor,ensemble,False,True,False,True,True,True
xgb_regressor,gradient_boosting,True,True,False,True,False,True
lgbm_regressor,gradient_boosting,True,True,False,True,False,True
catboost_regressor,gradient_boosting,True,True,False,True,False,True
selfies_transformer,attention,False,False,True,False,False,True
