model,target_count,average_rank,average_normalized_rmse,average_r2
extra_trees,3,2.0,0.40108705921809723,0.8376112968160451
lgbm_regressor,3,2.6666666666666665,0.4031085042441897,0.836740270983923
random_forest,3,3.6666666666666665,0.40842811601914547,0.8317701032675447
xgb_regressor,3,4.0,0.4089794906786701,0.8315269586942834
hist_gradient_boosting,3,4.333333333333333,0.4123405942791958,0.8291838604648097
selfies_transformer,3,4.666666666666667,0.41972376536875383,0.8229260301207773
voting_regressor,3,6.666666666666667,0.42542731052252664,0.8181181734807899
catboost_regressor,3,10.666666666666666,0.4540910048984545,0.7924363063903069
bagging,3,11.0,0.4561865809675312,0.7891609963317049
poisson_regressor,3,11.666666666666666,0.4692999038799541,0.7790940482863186
bayesian_ridge,3,13.333333333333334,0.47923094087794776,0.7695118776728421
svr_rbf,3,13.666666666666666,0.47803396067107656,0.7708597404191316
gradient_boosting,3,13.666666666666666,0.4845586487598344,0.76356802328801
lasso,3,14.0,0.48357878542529953,0.7650891053609645
mlp_regressor,3,14.0,0.4860420779188921,0.7618803409419895
pls_regression,3,14.333333333333334,0.48557218432017324,0.7633951443606612
nu_svr,3,14.666666666666666,0.47845493440328246,0.7704596267247736
elastic_net,3,15.0,0.48972389948613704,0.7590499110633792
extra_tree,3,20.666666666666668,0.537812247943474,0.7079870190941361
ridge,3,21.0,0.5436765904210213,0.7018397810727364
stacking_regressor,3,21.0,0.5637564798115742,0.6712476272499832
kneighbors_regressor,3,21.666666666666668,0.5489394606628999,0.6976288771880409
decision_tree,3,21.666666666666668,0.5513295315575023,0.6930972205403595
huber_regressor,3,22.333333333333332,0.5524300681302751,0.6928635819452253
linear_regression,3,24.666666666666668,0.5919897199791229,0.6446759256698457
nystroem_ridge,3,25.333333333333332,0.5948228561570169,0.6457611411884084
linear_svr,3,26.0,0.5977403853108734,0.6389614587950324
adaboost,3,28.0,0.643748069940489,0.583418470377263
passive_aggressive_regressor,3,28.666666666666668,0.6985536974678265,0.5056085810089076
sgd_regressor,3,30.0,655087294742.3276,-7.78826702609714e+23
