target,model,feature_group,n_features_in_group,baseline_rmse,mean_rmse_increase,std_rmse_increase,pct_of_total_rmse_increase
density,lgbm_regressor,linker_selfies,838,0.2044228305740972,0.28112978671516514,0.006811298850170015,43.13345927498089
density,lgbm_regressor,node_selfies,727,0.2044228305740972,0.2640495976367002,0.009322447047397042,40.51286311321103
density,lgbm_regressor,point_group,31,0.2044228305740972,0.04536920180146358,0.0050280621948769625,6.96095081601773
density,lgbm_regressor,topology,197,0.2044228305740972,0.06121872266122639,0.003856399246656623,9.392726795790352
density,lgbm_regressor,topology_missing,1,0.2044228305740972,0.0,0.0,0.0
pld,extra_trees,linker_selfies,838,0.42172328997200287,1.88517524872635,0.03732406033923217,28.44746003647989
pld,extra_trees,node_selfies,727,0.42172328997200287,1.5822787454495217,0.05736466094470858,23.876725205339604
pld,extra_trees,point_group,31,0.42172328997200287,1.499438526002584,0.15718721699356936,22.626659019863148
pld,extra_trees,topology,197,0.42172328997200287,1.5139644988527772,0.09945689244440514,22.845857225667114
pld,extra_trees,topology_missing,1,0.42172328997200287,0.1460096548611865,0.01894228240200299,2.203298512650246
lcd,extra_trees,linker_selfies,838,0.3963552228459272,2.3408267487069976,0.047682785946473676,28.84445923272587
lcd,extra_trees,node_selfies,727,0.3963552228459272,2.6499943678264257,0.12011551624284318,32.654127244549116
lcd,extra_trees,point_group,31,0.3963552228459272,1.4064619272683911,0.08851041155701508,17.330899754064696
lcd,extra_trees,topology,197,0.3963552228459272,1.3932942936908188,0.05720107348141809,17.16864371776062
lcd,extra_trees,topology_missing,1,0.3963552228459272,0.3247654734801607,0.017523186660227685,4.001870050899683
